feature_name,importance
numeric__seller_avg_prep_minutes,964701006.4578857
categorical__seller_category_electronics,232353414.85266113
categorical__seller_category_fashion,166759052.07006836
numeric__trip_distance_km,58700403.09674072
numeric__is_peak_hour,36955328.85473633
numeric__order_size,36624700.95727539
numeric__seller_reliability,24599691.268493652
numeric__courier_load,24486625.805541992
numeric__is_high_complexity_order,14490496.227050781
numeric__hour_of_day,7046657.077880859
numeric__dropoff_latitude,5533428.153076172
numeric__pickup_longitude,4944736.157714844
numeric__dropoff_longitude,4691986.483459473
numeric__pickup_latitude,4571372.52331543
categorical__seller_category_supermarket,4343173.705078125
categorical__seller_category_pharmacy,3133725.4455566406
numeric__day_of_week,2645472.1560058594
numeric__priority_flag,2304062.0611572266
categorical__seller_category_restaurant,1939464.8598632812
numeric__month,1077611.065612793
numeric__is_weekend,175164.34887695312
