feature_name,importance
numeric__seller_avg_prep_minutes,59881.356798529625
categorical__seller_category_electronics,11920.48825019598
numeric__trip_distance_km,6315.853700816631
categorical__seller_category_fashion,5352.430164039135
numeric__seller_reliability,4329.036240488291
numeric__courier_load,4328.349034667015
numeric__is_peak_hour,3181.5816717743874
numeric__is_high_complexity_order,3172.812160074711
numeric__order_size,2953.2093921005726
numeric__hour_of_day,2148.9578604996204
numeric__dropoff_latitude,1375.4521213173866
numeric__pickup_longitude,973.4953761994839
numeric__pickup_latitude,910.722624540329
numeric__dropoff_longitude,909.22511318326
numeric__day_of_week,796.9073895514011
numeric__priority_flag,639.649206340313
categorical__seller_category_pharmacy,562.238411962986
categorical__seller_category_supermarket,287.1191835999489
numeric__month,282.55458265542984
categorical__seller_category_restaurant,262.930613219738
numeric__is_weekend,66.79504680633545
